"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.287355250E0,-1.627866665E-2,-1.499226093E-3,-1.061329940E-2,1.949063342E-2
1.297333250E0,-2.106804790E-2,2.500854135E-2,-5.639073048E-3,3.318266004E-2
1.307312250E0,-1.617674237E-2,3.099725962E-2,4.431602916E-2,5.644845027E-2
1.317290250E0,2.137657989E-2,2.888173699E-2,6.602500498E-2,7.516923694E-2
1.327269250E0,4.098041190E-2,7.878538370E-3,1.009948629E-1,1.092768405E-1
1.337247250E0,9.006089855E-2,2.052840471E-2,1.046511269E-1,1.395859563E-1
1.347225250E0,1.198834891E-1,-1.105708480E-3,3.826067090E-2,1.258457488E-1
1.357204250E0,9.624284903E-2,-2.092660010E-2,-8.241533518E-2,1.284246707E-1
1.367182250E0,8.694890074E-2,-1.108456671E-2,-1.141832578E-1,1.439471963E-1
1.377161250E0,5.900005046E-2,1.044897437E-2,-9.293330669E-2,1.105748005E-1
1.387139250E0,7.028230788E-2,5.032698512E-3,-6.614370346E-3,7.077203368E-2
1.397117250E0,7.818754245E-2,-7.596702576E-3,4.784542680E-2,9.197927239E-2
1.407096250E0,6.348298280E-2,-3.881440222E-2,6.934388459E-2,1.017114608E-1
1.417074250E0,5.862897154E-2,-3.727015257E-2,3.465465646E-2,7.763611138E-2
1.427053250E0,4.888791226E-2,-4.351147056E-2,-6.786278486E-3,6.579764138E-2
1.437031250E0,6.862288635E-2,-4.988435090E-2,-5.033926427E-2,9.864882424E-2
1.447009250E0,1.078480920E-1,-3.423603237E-2,-5.490307091E-2,1.257682951E-1
1.456988250E0,1.490128739E-1,-1.976943612E-2,-1.957591156E-2,1.515878739E-1
1.466966250E0,1.716389855E-1,-1.741768599E-2,-3.794477507E-4,1.725209005E-1
1.476945250E0,1.588528791E-1,-1.131845534E-2,1.693821430E-2,1.601538252E-1
1.486923250E0,1.399889757E-1,-4.728526354E-2,7.721832991E-3,1.479609278E-1
1.496901250E0,9.225227052E-2,-6.184307635E-2,-3.380330186E-2,1.160935430E-1
1.506880250E0,8.856298808E-2,-5.543452799E-2,-3.173517823E-2,1.091948318E-1
1.516858250E0,7.067898665E-2,-4.288581848E-2,-2.669082183E-2,8.687411899E-2
1.526837250E0,8.516200991E-2,-2.570319057E-2,9.425711632E-4,8.896128584E-2
1.536815250E0,1.038474271E-1,-1.976534307E-2,6.274943132E-2,1.229326971E-1
1.546794250E0,1.174295589E-1,-1.594652653E-2,7.466134250E-2,1.400653743E-1
1.556772250E0,9.633055726E-2,-2.935653090E-2,7.403159738E-3,1.009761801E-1
1.566750250E0,7.851928057E-2,-2.914603114E-2,-4.972998440E-2,9.740554348E-2
1.576729250E0,4.923425015E-2,-3.596037626E-2,-1.201702219E-1,1.347517803E-1
1.586707250E0,5.306355514E-2,-3.197608352E-2,-1.642676018E-1,1.755621138E-1
1.596686250E0,8.667018956E-2,-3.799813092E-2,-1.484842308E-1,1.760771039E-1
1.606664250E0,1.087087839E-1,-3.981544554E-2,-1.030226773E-1,1.549727119E-1
1.616642250E0,1.106021123E-1,-3.205034316E-2,-2.321520030E-2,1.174691333E-1
1.626621250E0,1.148707259E-1,2.347072363E-3,5.367568552E-2,1.268143195E-1
1.636599250E0,1.162049144E-1,1.726565838E-2,7.634062629E-2,1.401055898E-1
1.646578250E0,1.179576903E-1,2.233051658E-3,6.788675845E-2,1.361161827E-1
1.656556250E0,1.389632278E-1,2.102074027E-2,5.350377738E-2,1.503838569E-1
1.666534250E0,1.389358738E-1,1.900111198E-2,1.458001396E-2,1.409850918E-1
1.676513250E0,9.903849419E-2,-1.908589661E-2,-4.476631958E-2,1.103490741E-1
1.686491250E0,8.692012148E-2,-1.180669785E-2,-5.304827929E-2,1.025115875E-1
1.696470250E0,1.071493680E-1,-5.422707796E-3,-2.978982786E-2,1.113455283E-1
1.706448250E0,1.317147270E-1,-3.973183036E-3,-3.381444812E-2,1.360440090E-1
1.716426250E0,1.270875877E-1,-2.616862893E-2,-4.863184076E-2,1.385680628E-1
1.726405250E0,1.266815351E-1,-2.487171650E-2,-4.446339726E-2,1.365423279E-1
1.736383250E0,1.386508952E-1,-2.596982360E-2,-4.806413094E-2,1.490257131E-1
1.746362250E0,1.461117962E-1,-3.096393049E-2,-2.571197966E-2,1.515537128E-1
1.756340250E0,1.544213474E-1,-4.045746982E-2,4.630994797E-3,1.597003617E-1
1.766318250E0,1.608479125E-1,-4.515980065E-2,3.069612801E-2,1.698638008E-1
1.776297250E0,2.009281273E-1,-5.269569218E-2,3.971428871E-2,2.114856332E-1
1.786275250E0,1.857990415E-1,-5.033575594E-2,-1.260016501E-2,1.929086217E-1
1.796254250E0,1.346575941E-1,-3.657491863E-2,-5.297869742E-2,1.492552669E-1
1.806232250E0,1.138244398E-1,-6.336159825E-2,-7.256160736E-2,1.491170080E-1
1.816211250E0,9.908757426E-2,-6.678748190E-2,-6.618055919E-2,1.365971505E-1
1.826189250E0,1.165378767E-1,-6.513739765E-2,-3.612526774E-2,1.383076001E-1
1.836167250E0,1.146202458E-1,-8.445542872E-2,-3.529498139E-2,1.466842047E-1
1.846146250E0,1.341981491E-1,-7.833690226E-2,-3.904830912E-2,1.602204229E-1
1.856124250E0,1.722694433E-1,-7.955721617E-2,-3.459212780E-2,1.928800846E-1
1.866103250E0,1.569087164E-1,-5.277287543E-2,-4.029140890E-2,1.703781656E-1
1.876081250E0,9.470409941E-2,-2.597567081E-2,-5.425571105E-2,1.121930662E-1
1.886059250E0,6.662631802E-2,-3.180066705E-2,-2.540379485E-2,7.807497340E-2
1.896038250E0,6.835780649E-2,-4.240342319E-2,-2.631833592E-2,8.463743150E-2
1.906016250E0,7.017241677E-2,-7.081212044E-2,-4.869619668E-2,1.109497366E-1
1.915995250E0,7.478649119E-2,-7.196636081E-2,-6.517947933E-2,1.225583162E-1
1.925973250E0,1.160352903E-1,-8.718666315E-2,-6.062042356E-2,1.572912540E-1
1.935951250E0,1.112399339E-1,-6.738038957E-2,-5.738398969E-2,1.421526013E-1
1.945930250E0,7.537104830E-2,-2.871918440E-2,-4.513758123E-2,9.242828417E-2
1.955908250E0,3.942030167E-2,1.686336994E-3,2.290352544E-2,4.562209326E-2
1.965887250E0,3.196427945E-2,3.028857708E-3,8.063836634E-2,8.679536431E-2
1.975865250E0,5.175324893E-2,1.362927496E-2,1.028028403E-1,1.158990072E-1
1.985843250E0,8.128793718E-2,9.556104541E-3,9.493948638E-2,1.253497265E-1
1.995822250E0,1.242565669E-1,1.118221521E-2,4.268175066E-2,1.318577574E-1
2.005800250E0,1.248711275E-1,1.565650463E-2,-1.117052078E-2,1.263435996E-1
2.015779250E0,9.656514024E-2,8.902385831E-3,-2.761755070E-2,1.008305901E-1
2.025757250E0,8.598398225E-2,-1.791469932E-2,-2.541377166E-2,9.143326225E-2
2.035735250E0,7.815730138E-2,6.151270866E-4,-4.140532175E-2,8.844966257E-2
2.045714250E0,4.949308081E-2,-2.592655420E-2,-4.563402811E-2,7.214025078E-2
2.055692250E0,6.641929004E-2,-2.597508609E-2,-2.000566363E-2,7.407059987E-2
2.065671125E0,1.077769753E-1,-4.967151225E-2,2.668687496E-3,1.187023901E-1
2.075649125E0,1.736618481E-1,-7.724113405E-2,-1.157047033E-2,1.904166643E-1
2.085628125E0,1.751227201E-1,-7.261306286E-2,-3.635562977E-2,1.930345974E-1
2.095606125E0,1.538354381E-1,-1.013439417E-1,-7.012331843E-2,1.971121922E-1
2.105584125E0,1.289263543E-1,-1.111965001E-1,-7.921283344E-2,1.877800294E-1
2.115563125E0,1.051494741E-1,-9.066341758E-2,-9.998757038E-3,1.391985716E-1
2.125541125E0,9.722333573E-2,-5.547955155E-2,1.055118553E-1,1.538281810E-1
2.135520125E0,1.365503378E-1,-4.425816000E-2,1.301216165E-1,1.937431665E-1
2.145498125E0,1.293805002E-1,-7.314983726E-2,9.331162155E-2,1.754915133E-1
2.155476125E0,8.467457140E-2,-8.480216861E-2,3.218660155E-2,1.240853261E-1
2.165455125E0,5.277983727E-2,-8.954309106E-2,-4.998024523E-2,1.153330017E-1
2.175433125E0,3.781955330E-2,-8.752521694E-2,-8.253869316E-2,1.261095479E-1
2.185412125E0,1.983589338E-2,-6.843405783E-2,-1.113888735E-1,1.322276978E-1
2.195390125E0,2.972940054E-2,-4.275834918E-2,-1.088002928E-1,1.206217949E-1
2.205368125E0,7.059708908E-2,-4.827461243E-3,-5.373063108E-2,8.884950245E-2
2.215347125E0,1.091230043E-1,2.813387811E-2,4.438798646E-2,1.211182831E-1
2.225325125E0,1.003698321E-1,3.411031723E-2,7.775282023E-2,1.314652730E-1
2.235304125E0,9.905493949E-2,4.755189657E-2,6.392645756E-2,1.271206351E-1
2.245282125E0,1.072950185E-1,5.740737855E-2,3.876994511E-2,1.277142778E-1
2.255260125E0,8.506366706E-2,5.215657890E-2,3.148491740E-2,1.046299967E-1
2.265239125E0,5.207409661E-2,4.182747245E-2,4.115855098E-3,6.691927415E-2
2.275217125E0,3.506842006E-2,1.548693538E-2,-1.334626973E-2,4.059263688E-2
2.285196125E0,2.477127230E-2,-1.625467479E-2,-2.038343031E-2,3.596268365E-2
2.295174125E0,3.863244418E-2,-3.663046718E-2,-2.411101202E-2,5.844311567E-2
2.305152125E0,7.574196277E-2,-3.725904286E-2,-5.353125930E-3,8.457976801E-2
2.315131125E0,9.708567034E-2,-3.760695219E-2,3.107151926E-2,1.086524254E-1
2.325109125E0,1.140977606E-1,-4.739636064E-2,5.339268029E-2,1.345938047E-1
2.335088125E0,1.429044157E-1,-2.050910890E-2,8.696505368E-2,1.685384707E-1
2.345066125E0,1.355323375E-1,-1.725805700E-2,5.663377365E-2,1.478994231E-1
2.355044125E0,1.007907951E-1,-3.180592954E-2,2.908405066E-3,1.057301298E-1
2.365023125E0,8.836610137E-2,-5.682558060E-2,-4.599361360E-2,1.146870829E-1
2.375001125E0,7.341782246E-2,-8.797019005E-2,-9.085520625E-2,1.462313219E-1
2.384980125E0,1.079809335E-1,-8.077636063E-2,-1.524287077E-1,2.035171083E-1
2.394958125E0,1.302244179E-1,-7.236572564E-2,-1.387842482E-1,2.036081158E-1
2.404936125E0,1.444425988E-1,-6.393813372E-2,-7.645583471E-2,1.754914356E-1
