"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.247535625E0,8.220683078E-1,-3.562772816E-1,3.769563983E-1,9.720215688E-1
2.257513625E0,6.373433632E-1,-4.370875561E-1,3.331723014E-1,8.415793942E-1
2.267490625E0,3.548866676E-1,-5.361750573E-1,2.152463870E-1,6.780554889E-1
2.277468625E0,1.010471589E-1,-5.711244500E-1,4.578486800E-2,5.817988654E-1
2.287446625E0,-1.360083557E-1,-6.518680662E-1,-1.928074045E-1,6.932567661E-1
2.297423625E0,-3.516617820E-1,-6.980645782E-1,-4.417672290E-1,8.978409931E-1
2.307401625E0,-3.927965421E-1,-6.449180657E-1,-6.699594976E-1,1.009482126E0
2.317379625E0,-2.985173343E-1,-5.377830416E-1,-7.961201920E-1,1.006046996E0
2.327357625E0,-1.874856343E-1,-4.127713251E-1,-7.874043323E-1,9.085904536E-1
2.337334625E0,-5.767371923E-2,-3.006439483E-1,-7.319657113E-1,7.934020696E-1
2.347312625E0,4.853289491E-2,-2.227403247E-1,-7.848039293E-1,8.172428658E-1
2.357290625E0,1.517020632E-1,-2.016377234E-1,-9.222117430E-1,9.561097146E-1
2.367268625E0,2.631017540E-1,-1.298333305E-1,-1.064947540E0,1.104623234E0
2.377245625E0,3.056905340E-1,-6.060931385E-2,-1.094075006E0,1.137594088E0
2.387223625E0,3.109786096E-1,-1.947356701E-2,-9.291979963E-1,9.800488925E-1
2.397201625E0,4.213061038E-1,1.272178710E-2,-5.712775008E-1,7.099427160E-1
2.407179625E0,4.722597643E-1,6.944913447E-2,-2.362279509E-1,5.325937589E-1
2.417156625E0,4.742909043E-1,1.091365260E-1,2.466545597E-2,4.873099916E-1
2.427134625E0,4.812579348E-1,6.946024418E-2,1.336784595E-1,5.042854904E-1
2.437111833E0,4.100141437E-1,8.943959534E-2,9.674744546E-2,4.306635664E-1
2.447089833E0,2.507860926E-1,1.321739709E-1,-1.531327307E-2,2.838980789E-1
2.457066833E0,1.793359313E-1,1.506079030E-1,-1.842024958E-1,2.979507949E-1
2.467044833E0,1.750259121E-1,1.688956547E-1,-2.838035287E-1,3.737703238E-1
2.477022833E0,2.342277463E-1,2.049425697E-1,-2.015753044E-1,3.708054711E-1
2.487000833E0,3.288615512E-1,2.350557303E-1,-5.830083311E-2,4.084116837E-1
2.496977833E0,3.802820022E-1,2.929174376E-1,1.060299003E-1,4.915865806E-1
2.506955833E0,3.733085398E-1,3.267079121E-1,2.132536559E-1,5.399763397E-1
2.516933833E0,4.845651931E-1,3.016204333E-1,1.877336293E-1,6.008512526E-1
2.526910833E0,6.083676323E-1,2.761973244E-1,1.210052043E-2,6.682384010E-1
2.536888833E0,6.034621107E-1,2.889313906E-1,-1.167706507E-1,6.791783657E-1
2.546866833E0,6.437234795E-1,2.936682200E-1,-1.917465734E-1,7.330673161E-1
2.556844833E0,6.238619497E-1,3.319856089E-1,-1.514323604E-1,7.227378063E-1
2.566821833E0,5.305371354E-1,3.928902072E-1,-4.224730253E-2,6.615264179E-1
2.576799833E0,4.831211135E-1,5.118132180E-1,7.957475781E-3,7.038622748E-1
2.586777833E0,4.643072952E-1,6.550366724E-1,-1.173237973E-1,8.114303297E-1
2.596755833E0,4.517925360E-1,6.403812110E-1,-3.857864249E-1,8.735191794E-1
2.606732833E0,5.071950505E-1,5.871920139E-1,-6.278156908E-1,9.980950967E-1
2.616710833E0,5.755388420E-1,5.853314298E-1,-7.069022792E-1,1.083313747E0
2.626688833E0,4.412436108E-1,6.574498183E-1,-6.629544602E-1,1.032688145E0
2.636666833E0,2.210398082E-1,7.939314330E-1,-4.428279139E-1,9.355652187E-1
2.646643833E0,5.232316973E-2,8.361454064E-1,-2.634381882E-1,8.782235101E-1
2.656621833E0,-2.035726859E-2,7.774703515E-1,-9.485704064E-2,7.835001110E-1
2.666599833E0,-4.498632107E-2,7.172802830E-1,1.341988617E-1,7.311115564E-1
2.676577833E0,5.511537509E-3,7.122165942E-1,4.884570998E-1,8.636395038E-1
2.686554833E0,1.158991781E-1,6.456437051E-1,8.904498138E-1,1.105978881E0
2.696532833E0,2.274329163E-1,4.452163553E-1,1.157846348E0,1.261170686E0
2.706510833E0,2.706419762E-1,2.533773959E-1,1.301307784E0,1.353088738E0
2.716488833E0,2.420745636E-1,8.441040516E-3,1.259822958E0,1.282897202E0
